model,strategy,over_ratio,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,config_id,status,reason
catboost,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,catboost__none,skipped,Package catboost indisponible pour cette version de R via CRAN ; configuration conservee mais non executee.
catboost,smote_10,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,catboost__smote_10,skipped,Package catboost indisponible pour cette version de R via CRAN ; configuration conservee mais non executee.
catboost,smote_20,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,catboost__smote_20,skipped,Package catboost indisponible pour cette version de R via CRAN ; configuration conservee mais non executee.
decision_tree,none,NA,0.01,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0,decision_tree__none,trained,NA
decision_tree,smote_10,0.111,0.27,0.98317807723614,NA,0,NA,0.5,0.50841096138193,0,0,186,0,10871,decision_tree__smote_10,trained,NA
decision_tree,smote_20,0.25,0.48,0.9036809261101564,0.08576814326107446,0.489247311827957,0.14595028067361668,0.7337972785441783,0.29157022595408366,1061,970,95,91,9901,decision_tree__smote_20,trained,NA
logistic_regression,none,NA,0.06999999999999999,0.9522474450574296,0.11486486486486489,0.27419354838709675,0.1619047619047619,0.825967875466245,0.08486184494087308,444,393,135,51,10478,logistic_regression__none,trained,NA
logistic_regression,smote_10,0.111,0.34,0.9530614090621324,0.11007025761124122,0.25268817204301075,0.1533442088091354,0.8266711374743695,0.08441777299641502,427,380,139,47,10491,logistic_regression__smote_10,trained,NA
logistic_regression,smote_20,0.25,0.5,0.9348828796237676,0.09422492401215804,0.3333333333333333,0.14691943127962087,0.827587554141778,0.08389762089697814,658,596,124,62,10275,logistic_regression__smote_20,trained,NA
random_forest,none,NA,0.06,0.914805100841096,0.08733624454148471,0.4301075268817205,0.1451905626134301,0.8152624176189388,0.07951042904552978,916,836,106,80,10035,random_forest__none,trained,NA
random_forest,smote_10,0.111,0.31,0.932260106719725,0.08784773060029283,0.3225806451612903,0.1380897583429229,0.8119068390499335,0.08070623910614554,683,623,126,60,10248,random_forest__smote_10,trained,NA
random_forest,smote_20,0.25,0.49,0.9224925386632902,0.09333333333333334,0.41397849462365593,0.152324431256182,0.8024026634935801,0.08093841854259128,825,748,109,77,10123,random_forest__smote_20,trained,NA
xgboost,none,NA,0.06,0.9228543004431582,0.09963985594237695,0.44623655913978494,0.16290480863591755,0.8302608894335625,0.101505885157007,833,750,103,83,10121,xgboost__none,trained,NA
xgboost,smote_10,0.111,0.32,0.9431129601157636,0.1079646017699115,0.3279569892473118,0.16245006657789612,0.8241726285678678,0.08865985981042754,565,504,125,61,10367,xgboost__smote_10,trained,NA
xgboost,smote_20,0.25,0.45,0.9186940399746768,0.08206330597889801,0.3763440860215054,0.1347449470644851,0.8206803046083938,0.0840792567433849,853,783,116,70,10088,xgboost__smote_20,trained,NA
